50 141
1 2 200
2 3 310
3 4 20
4 5 360
5 6 150
6 7 20
7 8 130
8 9 20
9 10 110
10 11 480
11 12 150
12 13 240
13 14 210
14 15 480
15 16 410
16 17 380
17 18 280
18 19 430
19 20 270
20 21 80
21 22 390
22 23 430
23 24 420
24 25 90
25 26 150
26 27 50
27 28 290
28 29 420
29 30 310
30 31 350
31 32 330
32 33 80
33 34 170
34 35 200
35 36 400
36 37 410
37 38 10
38 39 40
39 40 60
40 41 130
41 42 230
42 43 350
43 44 100
44 45 240
45 46 20
46 47 200
47 48 470
48 49 370
49 50 20
12 30 400
28 11 230
37 27 140
3 21 390
44 39 500
13 25 400
4 1 500
45 28 370
6 24 350
5 37 440
13 45 200
11 36 90
18 29 90
25 5 50
18 44 330
10 42 460
3 6 330
26 20 280
16 42 300
43 46 230
48 39 420
5 3 70
16 2 450
15 22 200
6 47 60
21 49 310
46 28 440
44 8 110
6 17 10
11 49 160
6 37 320
9 45 270
6 26 400
34 31 240
49 22 390
21 43 60
2 6 300
2 1 240
19 32 140
14 49 470
35 11 130
42 7 230
14 38 420
4 12 220
43 14 390
12 32 330
21 26 490
21 24 390
13 33 10
30 49 40
46 38 100
26 36 100
14 29 20
46 5 360
1 31 140
46 9 410
3 43 360
36 29 190
33 11 440
6 14 80
41 3 230
17 31 360
24 2 360
4 31 130
45 10 390
49 43 30
47 22 460
4 7 230
23 18 230
8 6 490
36 1 170
36 11 310
34 41 180
42 12 470
44 29 410
20 25 220
35 8 270
20 5 480
43 3 280
29 18 220
4 26 430
47 7 440
48 2 150
15 10 150
19 8 350
8 19 220
40 26 280
18 30 410
39 38 110
40 46 190
34 45 260
36 17 120

10 24 34 32 48 39 14 7 25 10 42
10 23 21 9 19 35 27 8 2 17 43
1 1
5 8 28 44 13 23
