50 143
1 2 41
2 3 10
3 4 30
4 5 12
5 6 41
6 7 28
7 8 45
8 9 29
9 10 10
10 11 40
11 12 15
12 13 7
13 14 4
14 15 7
15 16 22
16 17 12
17 18 44
18 19 34
19 20 5
20 21 39
21 22 28
22 23 10
23 24 18
24 25 43
25 26 1
26 27 23
27 28 45
28 29 7
29 30 5
30 31 44
31 32 29
32 33 48
33 34 4
34 35 45
35 36 23
36 37 43
37 38 2
38 39 1
39 40 36
40 41 33
41 42 11
42 43 25
43 44 29
44 45 5
45 46 25
46 47 38
47 48 20
48 49 15
37 46 6
14 38 35
33 9 21
15 32 27
1 11 26
21 43 39
13 5 34
11 45 37
43 28 37
15 22 32
20 2 32
45 16 46
19 28 33
7 24 38
13 48 24
21 26 41
39 17 30
25 37 36
17 31 24
20 10 24
20 42 46
6 45 14
27 13 13
25 40 3
15 48 9
43 38 19
28 44 28
20 23 32
42 17 3
9 27 39
1 33 36
32 31 37
19 45 8
46 17 4
9 33 11
22 4 11
48 5 30
18 45 47
38 9 43
44 3 18
37 24 15
38 15 15
40 14 42
38 43 32
4 36 13
20 16 33
21 42 9
36 28 21
12 40 12
15 36 19
39 1 34
48 44 19
40 5 30
24 13 25
7 1 28
33 40 7
47 35 49
24 32 6
34 6 24
39 42 41
13 4 1
47 27 21
21 47 15
22 8 36
15 40 2
5 44 11
24 37 15
6 21 33
20 8 21
33 43 12
6 41 36
49 44 43
26 44 30
24 4 24
14 25 6
26 25 7
12 11 19
29 37 16
46 49 49
34 26 29
30 13 15
36 24 39
44 19 23
27 11 17
1 28 26
34 47 9
16 29 7
48 46 36
37 33 31
26 18 21
7 6 31
23 11 39
22 48 12
23 49 13
4 31 4

2 31 5
2 48 32
1 36
5 28 5 21 30 50
